Date,Product,Region,Units_Sold,Unit_Price,Customer_Rating,Discount_Applied,Revenue
2024-01-01,Desktop,South,39,931.45,3,0.15,30877.5675
2024-01-02,Laptop,East,45,297.81,2,0.0,13401.45
2024-01-02,Laptop,North,33,1087.57,5,0.0,35889.81
2024-01-02,Printer,Central,40,444.18,4,0.0,17767.2
2024-01-04,Monitor,Central,29,1940.13,4,0.2,45011.016
2024-01-04,Desktop,West,11,1152.22,1,0.15,10773.257
2024-01-05,Monitor,North,8,509.78,3,0.15,3466.504
2024-01-05,Mouse,North,11,136.47,3,0.0,1501.17
2024-01-06,Printer,Central,3,1717.71,4,0.15,4380.1605
2024-01-09,Mouse,South,7,1798.96,1,0.0,12592.720000000001
2024-01-09,Mouse,Central,3,1908.44,4,0.2,4580.256
2024-01-10,Desktop,Central,18,1938.93,1,0.1,31410.665999999997
2024-01-13,Mouse,West,46,1335.38,5,0.1,55284.732
2024-01-13,Phone,Central,35,328.4,4,0.0,11494.0
2024-01-14,Keyboard,North,40,410.7,5,0.1,14785.2
2024-01-15,Keyboard,West,43,1998.89,3,0.0,85952.27
2024-01-15,Printer,East,20,178.99,3,0.0,3579.8
2024-01-16,Printer,North,32,1617.56,2,0.0,51761.92
2024-01-17,Tablet,Central,14,1241.13,1,0.0,17375.82
2024-01-18,Keyboard,East,35,1662.71,4,0.15,49465.6225
2024-01-20,Keyboard,South,7,210.51,4,0.05,1399.8915
2024-01-21,Mouse,South,12,479.13,2,0.1,5174.603999999999
2024-01-21,Desktop,South,44,569.74,3,0.15,21308.276
2024-01-22,Tablet,East,15,1985.72,4,0.2,23828.64
2024-01-22,Desktop,South,7,1759.5,1,0.0,12316.5
2024-01-23,Monitor,West,14,139.8,1,0.1,1761.4800000000002
2024-01-26,Laptop,East,24,1317.57,3,0.15,26878.428
2024-01-27,Desktop,East,4,1669.53,3,0.05,6344.214
2024-01-28,Phone,East,9,1379.52,4,0.2,9932.544000000002
2024-01-28,Laptop,Central,14,1246.55,3,0.15,14833.945
2024-01-29,Desktop,West,49,927.61,1,0.05,43180.2455
2024-02-02,Printer,Central,6,858.7,1,0.1,4636.9800000000005
2024-02-02,Keyboard,North,12,1749.47,4,0.05,19943.958
2024-02-04,Mouse,South,29,1942.66,5,0.05,53520.282999999996
2024-02-04,Tablet,West,13,1184.16,3,0.05,14624.376
2024-02-04,Mouse,North,32,680.5,4,0.0,21776.0
2024-02-05,Keyboard,East,42,1653.89,1,0.1,62517.04200000001
2024-02-05,Keyboard,East,30,1583.45,2,0.1,42753.15
2024-02-06,Laptop,East,28,321.1,5,0.15,7642.18
2024-02-06,Mouse,East,19,250.9,1,0.2,3813.6800000000003
2024-02-07,Keyboard,East,23,1699.86,4,0.0,39096.78
2024-02-08,Monitor,South,3,1061.67,2,0.05,3025.7595
2024-02-08,Desktop,West,12,1138.73,4,0.2,10931.808
2024-02-08,Mouse,South,6,451.87,4,0.2,2168.976
2024-02-10,Tablet,Central,15,483.52,4,0.2,5802.24
2024-02-10,Tablet,North,25,700.7,1,0.0,17517.5
2024-02-11,Monitor,Central,26,1956.63,4,0.15,43241.523
2024-02-13,Tablet,Central,42,417.38,3,0.2,14023.968
2024-02-13,Tablet,North,34,1277.03,3,0.1,39077.117999999995
2024-02-14,Printer,South,47,551.33,4,0.1,23321.259000000002
2024-02-15,Laptop,East,27,1985.1,4,0.15,45558.045
2024-02-16,Printer,Central,47,1501.27,4,0.0,70559.69
2024-02-16,Desktop,Central,46,123.03,2,0.05,5376.411
2024-02-17,Desktop,East,44,1310.68,2,0.15,49019.432
